Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
The Church in the United States of America,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Mexico,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Brazil ,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Chile ,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Argentina ,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints Peru,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Philippines,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Canada,0,0,0,0,0,0,0,0,0
United Kingdom,186418,41,303,259,44,122,2,6,0
The Church of Jesus Christ of Latter-day Saints in Australia,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in New Zealand,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Japan,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in South Korea,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Ecuador ,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Colombia,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Guatemala,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Honduras,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in El Salvador,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Nicaragua,0,0,0,0,0,0,0,0,0
The Church in Costa Rica,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Panama,0,0,0,0,0,0,0,0,0
Uruguay,109905,18,130,98,32,32,1,2,2
The Church of Jesus Christ of Latter-day Saints in Paraguay,0,0,0,0,0,0,0,0,0
The Church of Jesus Christ of Latter-day Saints in Bolivia,0,0,0,0,0,0,0,0,0
The Church in Venezuela,0,0,0,0,0,0,0,0,0
